## manually taken from https://www.pharmvar.org/genes
## Allele and FunctionChange: PharmVar, Version 4.1.4 Last Updated Feb 14 2020
## Metabolizes: https://www.pharmgkb.org, Clinical Annotations on Gene, all evidence levels
#Allele	Function	Molecule
CYP2A13*7.001	CYP2A13	no function	nicotine
CYP2B6*4	CYP2B6	increased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*6	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*7	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*8	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*9	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*12	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*13	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*16	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*18	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*19	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*20	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*22	CYP2B6	increased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*24	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*26	CYP2B6	decreased function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
CYP2B6*28	CYP2B6	no function	mirtazapine, efavirenz, propofol, nicotine, cotinine, nevirapine, bupropion, 3,4-methylenedioxymethamphetamine, antivirals for treatment of HIV infections, drugs for treatment of tuberculosis, clopidogrel, methadone, ethambutol, isoniazid, pyrazinamide, rifampin, imatinib, ketamine, cyclophosphamide, doxorubicin, mitotane
